,rw,rw,rw,rw,rw,rw,rw,rw,rw,rw,rw,en,en,en,en,en,en,en,en,en,en,en
,Rwanda,Paul_Kagame,Umuganda,Uburezi_mu_Rwanda,Kigali,Ubukungu_bw%27U_Rwanda,Ikinyarwanda,Rose_Kabuye,Louise_Mushikiwabo,Agnes_Binagwaho,Paul_Rusesabagina,Rwanda,Paul_Kagame,Umuganda,Education_in_Rwanda,Kigali,Economy_of_Rwanda,Kinyarwanda,Rose_Kabuye,Louise_Mushikiwabo,Agnes_Binagwaho,Paul_Rusesabagina
2017-08-09,104,41,,,15,,7,,,,,3034,1829,,96,438,195,187,9,35,13,414
2017-08-10,77,32,,,5,,28,,,,,2994,1622,,88,470,170,205,10,43,23,267
2017-08-11,47,32,,,4,,20,,,,,3009,1450,,53,468,153,165,5,19,12,270
2017-08-12,59,31,,,9,,18,,,,,2587,1211,,46,370,87,166,4,24,17,292
2017-08-13,49,14,,,8,,16,,,,,4691,1301,,48,589,118,173,8,28,20,536
2017-08-14,47,32,,,9,,21,,,,,3765,2257,,72,586,164,186,11,25,21,315
2017-08-15,51,32,,,8,,20,,,,,3244,1397,,45,530,123,190,12,31,22,262
2017-08-16,45,21,,,18,,18,,,,,3863,1030,,53,438,126,174,10,36,18,282
2017-08-17,81,31,,,14,,13,,,,,2866,976,,70,519,114,168,5,36,18,239
2017-08-18,74,114,,,9,,20,,,,,3224,3152,,55,469,125,226,7,199,24,287
2017-08-19,67,43,,,10,,20,,,,,2733,2162,,58,440,100,133,10,54,17,255
2017-08-20,68,34,,,21,,19,,,,,2646,1647,,54,392,94,145,13,53,20,289
2017-08-21,58,28,,,11,,18,,,,,2841,1274,,79,415,122,176,7,52,13,299
2017-08-22,58,30,,,7,,21,,,,,2947,1224,,73,467,148,196,1,64,21,650
2017-08-23,69,24,,,11,,16,,,,,2957,1202,,67,505,164,165,13,40,19,314
2017-08-24,75,24,,,10,,16,,,,,2772,1012,,82,436,159,175,16,42,13,281
2017-08-25,54,27,,,12,,21,,,,,2664,908,,72,397,128,175,7,27,24,284
2017-08-26,51,28,,,13,,11,,,,,2634,800,,45,354,92,140,6,49,7,392
2017-08-27,77,25,,,7,,15,,,,,2650,899,,34,420,105,159,6,67,3,462
2017-08-28,65,21,,,5,,18,,,,,2849,913,,61,408,115,176,6,56,25,314
2017-08-29,65,21,,,4,,20,,,,,2659,930,,73,450,139,177,8,57,19,313
2017-08-30,69,25,,,5,,27,,,,,2968,1064,,51,459,172,170,11,94,38,260
2017-08-31,60,24,,,11,,15,,,,,3006,1034,,56,423,125,196,15,134,29,402
2017-09-01,58,19,,,3,,14,,,,,2559,945,,52,387,112,191,14,89,12,363
2017-09-02,65,16,,,11,,20,,,,,2495,1205,,39,339,85,125,4,65,20,367
2017-09-03,53,9,,,12,,10,,,,,3081,981,,43,455,86,176,11,58,17,322
2017-09-04,52,20,,,13,,21,,,,,3003,959,,73,437,129,165,10,58,20,366
2017-09-05,60,16,,,10,,22,,,,,2960,1035,,71,482,152,167,11,34,25,327
2017-09-06,74,21,,,10,,18,,,,,2770,961,,88,391,117,171,8,50,16,327
2017-09-07,42,17,,,16,,14,,,,,3186,877,,90,503,145,191,13,56,20,294
2017-09-08,67,22,,,6,,12,,,,,2766,864,,74,405,110,150,6,21,33,260
2017-09-09,68,20,,,15,,24,,,,,2270,734,,57,391,101,123,6,26,10,421
2017-09-10,62,37,,,9,,28,,,,,2438,896,,71,355,132,112,10,45,9,545
2017-09-11,82,26,,,12,,20,,,,,2612,918,,66,416,124,193,25,44,20,319
2017-09-12,78,30,,,9,,13,,,,,3312,1439,,60,495,146,173,7,44,9,462
2017-09-13,76,13,,,11,,20,,,,,2969,938,,75,431,164,180,7,56,16,419
2017-09-14,126,29,,,13,,17,,,,,3698,1622,,84,527,124,264,17,29,19,563
2017-09-15,60,22,,,19,,7,,,,,3008,949,,147,445,126,162,3,36,24,435
2017-09-16,59,9,,,17,,8,,,,,2577,903,,52,413,102,167,8,34,8,452
2017-09-17,56,17,,,12,,24,,,,,2995,967,,47,428,119,148,4,46,15,500
2017-09-18,50,18,,,10,,24,,,,,3436,1027,,93,507,159,179,14,52,27,522
2017-09-19,83,31,,,14,,26,,,,,3115,1195,,93,439,138,180,8,41,14,548
2017-09-20,88,23,,,16,,26,,,,,3092,1004,,88,477,156,181,9,45,31,689
2017-09-21,66,39,,,14,,23,,,,,3137,1005,,79,479,126,246,6,49,17,493
2017-09-22,79,20,,,9,,20,,,,,2972,918,,160,473,123,179,11,32,21,454
