,rw,rw,rw,rw,rw,rw,rw,rw,rw,rw,rw,en,en,en,en,en,en,en,en,en,en,en
,Rwanda,Paul_Kagame,Umuganda,Uburezi_mu_Rwanda,Kigali,Ubukungu_bw%27U_Rwanda,Ikinyarwanda,Rose_Kabuye,Louise_Mushikiwabo,Agnes_Binagwaho,Paul_Rusesabagina,Rwanda,Paul_Kagame,Umuganda,Education_in_Rwanda,Kigali,Economy_of_Rwanda,Kinyarwanda,Rose_Kabuye,Louise_Mushikiwabo,Agnes_Binagwaho,Paul_Rusesabagina
2017-08-20,68,,,,,,,,,,,2646,,,,,,,,,,
2017-08-21,58,,,,,,,,,,,2841,,,,,,,,,,
2017-08-22,58,,,,,,,,,,,2947,,,,,,,,,,
2017-08-23,69,,,,,,,,,,,2957,,,,,,,,,,
2017-08-24,75,,,,,,,,,,,2772,,,,,,,,,,
2017-08-25,54,,,,,,,,,,,2664,,,,,,,,,,
2017-08-26,51,,,,,,,,,,,2634,,,,,,,,,,
2017-08-27,77,,,,,,,,,,,2650,,,,,,,,,,
2017-08-28,65,,,,,,,,,,,2849,,,,,,,,,,
2017-08-29,65,,,,,,,,,,,2659,,,,,,,,,,
2017-08-30,69,,,,,,,,,,,2968,,,,,,,,,,
2017-08-31,60,,,,,,,,,,,3006,,,,,,,,,,
2017-09-01,58,,,,,,,,,,,2559,,,,,,,,,,
2017-09-02,65,,,,,,,,,,,2495,,,,,,,,,,
2017-09-03,53,,,,,,,,,,,3081,,,,,,,,,,
2017-09-04,52,,,,,,,,,,,3003,,,,,,,,,,
2017-09-05,60,,,,,,,,,,,2960,,,,,,,,,,
2017-09-06,74,,,,,,,,,,,2770,,,,,,,,,,
2017-09-07,42,,,,,,,,,,,3186,,,,,,,,,,
2017-09-08,67,,,,,,,,,,,2766,,,,,,,,,,
2017-09-09,68,,,,,,,,,,,2270,,,,,,,,,,
2017-09-10,62,,,,,,,,,,,2438,,,,,,,,,,
2017-09-11,82,,,,,,,,,,,2612,,,,,,,,,,
2017-09-12,78,,,,,,,,,,,3312,,,,,,,,,,
2017-09-13,76,,,,,,,,,,,2969,,,,,,,,,,
2017-09-14,126,,,,,,,,,,,3698,,,,,,,,,,
2017-09-15,60,,,,,,,,,,,3008,,,,,,,,,,
2017-09-16,59,,,,,,,,,,,2577,,,,,,,,,,
2017-09-17,56,,,,,,,,,,,2995,,,,,,,,,,
2017-09-18,50,,,,,,,,,,,3436,,,,,,,,,,
2017-09-19,83,,,,,,,,,,,3115,,,,,,,,,,
2017-09-20,88,,,,,,,,,,,3092,,,,,,,,,,
2017-09-21,66,,,,,,,,,,,3137,,,,,,,,,,
2017-09-22,79,,,,,,,,,,,2972,,,,,,,,,,
2017-09-23,60,,,,,,,,,,,3049,,,,,,,,,,
2017-09-24,69,,,,,,,,,,,2876,,,,,,,,,,
2017-09-25,54,,,,,,,,,,,3287,,,,,,,,,,
2017-09-26,65,,,,,,,,,,,3498,,,,,,,,,,
2017-09-27,51,,,,,,,,,,,3978,,,,,,,,,,
2017-09-28,63,,,,,,,,,,,3158,,,,,,,,,,
2017-09-29,52,,,,,,,,,,,2958,,,,,,,,,,
2017-09-30,92,,,,,,,,,,,2651,,,,,,,,,,
2017-10-01,62,,,,,,,,,,,2808,,,,,,,,,,
2017-10-02,84,,,,,,,,,,,3082,,,,,,,,,,
2017-10-03,76,,,,,,,,,,,3019,,,,,,,,,,
2017-10-04,71,,,,,,,,,,,3102,,,,,,,,,,
2017-10-05,77,,,,,,,,,,,3045,,,,,,,,,,
2017-10-06,81,,,,,,,,,,,3072,,,,,,,,,,
2017-10-07,74,,,,,,,,,,,2860,,,,,,,,,,
2017-10-08,67,,,,,,,,,,,3077,,,,,,,,,,
2017-10-09,78,,,,,,,,,,,3597,,,,,,,,,,
2017-10-10,92,,,,,,,,,,,3460,,,,,,,,,,
2017-10-11,88,,,,,,,,,,,3568,,,,,,,,,,
2017-10-12,100,,,,,,,,,,,3511,,,,,,,,,,
2017-10-13,71,,,,,,,,,,,3046,,,,,,,,,,
2017-10-14,62,,,,,,,,,,,2699,,,,,,,,,,
2017-10-15,84,,,,,,,,,,,3235,,,,,,,,,,
2017-10-16,84,,,,,,,,,,,4003,,,,,,,,,,
2017-10-17,81,,,,,,,,,,,3501,,,,,,,,,,
2017-10-18,80,,,,,,,,,,,3244,,,,,,,,,,
2017-10-19,77,,,,,,,,,,,3538,,,,,,,,,,
2017-10-20,86,,,,,,,,,,,3239,,,,,,,,,,
2017-10-21,59,,,,,,,,,,,2882,,,,,,,,,,
2017-10-22,87,,,,,,,,,,,3063,,,,,,,,,,
2017-10-23,64,,,,,,,,,,,3445,,,,,,,,,,
2017-10-24,108,,,,,,,,,,,3591,,,,,,,,,,
2017-10-25,103,,,,,,,,,,,3526,,,,,,,,,,
2017-10-26,93,,,,,,,,,,,3743,,,,,,,,,,
2017-10-27,68,,,,,,,,,,,3340,,,,,,,,,,
2017-10-28,96,,,,,,,,,,,3477,,,,,,,,,,
2017-10-29,87,,,,,,,,,,,3255,,,,,,,,,,
2017-10-30,56,,,,,,,,,,,3336,,,,,,,,,,
2017-10-31,75,,,,,,,,,,,3613,,,,,,,,,,
2017-11-01,73,,,,,,,,,,,3318,,,,,,,,,,
2017-11-02,69,,,,,,,,,,,3875,,,,,,,,,,
2017-11-03,70,,,,,,,,,,,3336,,,,,,,,,,
2017-11-04,88,,,,,,,,,,,4896,,,,,,,,,,
2017-11-05,79,,,,,,,,,,,3132,,,,,,,,,,
2017-11-06,89,,,,,,,,,,,3346,,,,,,,,,,
2017-11-07,91,,,,,,,,,,,3372,,,,,,,,,,
2017-11-08,74,,,,,,,,,,,3418,,,,,,,,,,
2017-11-09,90,,,,,,,,,,,3278,,,,,,,,,,
2017-11-10,103,,,,,,,,,,,3147,,,,,,,,,,
2017-11-11,100,,,,,,,,,,,2816,,,,,,,,,,
2017-11-12,59,,,,,,,,,,,3308,,,,,,,,,,
2017-11-13,71,,,,,,,,,,,3598,,,,,,,,,,
2017-11-14,90,,,,,,,,,,,3860,,,,,,,,,,
2017-11-15,119,,,,,,,,,,,4374,,,,,,,,,,
2017-11-16,89,,,,,,,,,,,4319,,,,,,,,,,
2017-11-17,76,,,,,,,,,,,4710,,,,,,,,,,
2017-11-18,101,,,,,,,,,,,3667,,,,,,,,,,
2017-11-19,103,,,,,,,,,,,3975,,,,,,,,,,
2017-11-20,103,,,,,,,,,,,4109,,,,,,,,,,
2017-11-21,86,,,,,,,,,,,3900,,,,,,,,,,
2017-11-22,157,,,,,,,,,,,4040,,,,,,,,,,
2017-11-23,82,,,,,,,,,,,4075,,,,,,,,,,
2017-11-24,83,,,,,,,,,,,3712,,,,,,,,,,
2017-11-25,81,,,,,,,,,,,3305,,,,,,,,,,
2017-11-26,103,,,,,,,,,,,3304,,,,,,,,,,
2017-11-27,65,,,,,,,,,,,4378,,,,,,,,,,
2017-11-28,94,,,,,,,,,,,4138,,,,,,,,,,
2017-11-29,97,,,,,,,,,,,3871,,,,,,,,,,
2017-11-30,111,,,,,,,,,,,3404,,,,,,,,,,
2017-12-01,82,,,,,,,,,,,3121,,,,,,,,,,
2017-12-02,74,,,,,,,,,,,2761,,,,,,,,,,
2017-12-03,79,,,,,,,,,,,3272,,,,,,,,,,
2017-12-04,103,,,,,,,,,,,3739,,,,,,,,,,
2017-12-05,92,,,,,,,,,,,3262,,,,,,,,,,
2017-12-06,67,,,,,,,,,,,3014,,,,,,,,,,
2017-12-07,77,,,,,,,,,,,3413,,,,,,,,,,
2017-12-08,86,,,,,,,,,,,3155,,,,,,,,,,
2017-12-09,103,,,,,,,,,,,2746,,,,,,,,,,
2017-12-10,81,,,,,,,,,,,2924,,,,,,,,,,
2017-12-11,97,,,,,,,,,,,3251,,,,,,,,,,
2017-12-12,58,,,,,,,,,,,3168,,,,,,,,,,
2017-12-13,76,,,,,,,,,,,3438,,,,,,,,,,
2017-12-14,70,,,,,,,,,,,3595,,,,,,,,,,
2017-12-15,82,,,,,,,,,,,2975,,,,,,,,,,
2017-12-16,82,,,,,,,,,,,2522,,,,,,,,,,
2017-12-17,82,,,,,,,,,,,2592,,,,,,,,,,
2017-12-18,78,,,,,,,,,,,3229,,,,,,,,,,
2017-12-19,94,,,,,,,,,,,3133,,,,,,,,,,
2017-12-20,254,,,,,,,,,,,2977,,,,,,,,,,
2017-12-21,265,,,,,,,,,,,2863,,,,,,,,,,
2017-12-22,124,,,,,,,,,,,2949,,,,,,,,,,
2017-12-23,86,,,,,,,,,,,2385,,,,,,,,,,
2017-12-24,119,,,,,,,,,,,2303,,,,,,,,,,
2017-12-25,75,,,,,,,,,,,2420,,,,,,,,,,
2017-12-26,110,,,,,,,,,,,2529,,,,,,,,,,
2017-12-27,94,,,,,,,,,,,3392,,,,,,,,,,
2017-12-28,123,,,,,,,,,,,3240,,,,,,,,,,
2017-12-29,109,,,,,,,,,,,2693,,,,,,,,,,
2017-12-30,112,,,,,,,,,,,2510,,,,,,,,,,
2017-12-31,93,,,,,,,,,,,2444,,,,,,,,,,
2018-01-01,56,,,,,,,,,,,2383,,,,,,,,,,
2018-01-02,94,,,,,,,,,,,2936,,,,,,,,,,
2018-01-03,89,,,,,,,,,,,2862,,,,,,,,,,
2018-01-04,123,,,,,,,,,,,3012,,,,,,,,,,
2018-01-05,101,,,,,,,,,,,2727,,,,,,,,,,
2018-01-06,121,,,,,,,,,,,2571,,,,,,,,,,
2018-01-07,120,,,,,,,,,,,2646,,,,,,,,,,
2018-01-08,155,,,,,,,,,,,3338,,,,,,,,,,
2018-01-09,151,,,,,,,,,,,3551,,,,,,,,,,
2018-01-10,121,,,,,,,,,,,3484,,,,,,,,,,
2018-01-11,124,,,,,,,,,,,3622,,,,,,,,,,
2018-01-12,108,,,,,,,,,,,3606,,,,,,,,,,
2018-01-13,106,,,,,,,,,,,3352,,,,,,,,,,
2018-01-14,92,,,,,,,,,,,3655,,,,,,,,,,
2018-01-15,113,,,,,,,,,,,3560,,,,,,,,,,
2018-01-16,100,,,,,,,,,,,3445,,,,,,,,,,
2018-01-17,103,,,,,,,,,,,3418,,,,,,,,,,
2018-01-18,102,,,,,,,,,,,3541,,,,,,,,,,
2018-01-19,109,,,,,,,,,,,3135,,,,,,,,,,
2018-01-20,75,,,,,,,,,,,2759,,,,,,,,,,
2018-01-21,70,,,,,,,,,,,3322,,,,,,,,,,
2018-01-22,102,,,,,,,,,,,4072,,,,,,,,,,
2018-01-23,79,,,,,,,,,,,3668,,,,,,,,,,
2018-01-24,113,,,,,,,,,,,3520,,,,,,,,,,
2018-01-25,97,,,,,,,,,,,3696,,,,,,,,,,
2018-01-26,88,,,,,,,,,,,3904,,,,,,,,,,
2018-01-27,107,,,,,,,,,,,3428,,,,,,,,,,
2018-01-28,89,,,,,,,,,,,3594,,,,,,,,,,
